NAMA RUMAH;HARGA;Luas bangunan;Luas tanah;Kamar tidur;Kamar mandi;Kapasitas mobil dalam garasi
Dijual Rumah Pinggir Jalan Di Asem Baris Tebet Jakarta Selatan;0,1094;0,1778;0,1085;0,25;0,2222;0,1111
Dijual Rumah Mewah Lokasi Strategis Di Tebet Barat Jakarta Selatan;0,1219;0,317;0,1308;0,375;0,4444;0,2222
Rumah Siap Huni Di Tebet Jakarta Selatan;0,0344;0,0818;0,0193;0,375;0,4444;0
Dijual Rumah Tebet Raya Lokasi Premium Area Komersial Jalan Raya;0,2734;0,223;0,3462;0,25;0,2222;0,2222
TEBET TIMUR - RUMAH MEWAH CLASSIC MODERN;0,2734;0,6933;0,2281;0,375;0,3333;0,3333
Dijual Rumah Lux Tebet Jakarta Selatan;0,2344;0,0724;0,1426;0,5;0,5556;0
Rumah Jual Hitung Tanah, Tebet Timur;0,0781;0,1665;0,1382;0,25;0,3333;0,2222
Rumah Dijual Hitung Tanah Di Tebet Barat;0,1181;0,2267;0,1857;0,125;0,1111;0,2222
TEBET - Rumah Bagus, Terawat, Dekat ke Kuningan;0,0563;0,143;0,0602;0,875;0,7778;0,1111
TEBET - Siap Huni;0,0578;0,1496;0,0676;0,25;0,2222;0,1111
Dijual Rumah Siap Huni BU di Kebon Baru Tebet Jakarta Timur;0,0234;0,096;0,0602;0,25;0,2222;0
Dijual Rumah Cantik Tebet Lokasi Premium Nyaman Jalan 2 Mobil;0,1172;0,1853;0,1501;0,25;0,2222;0,3333
Rumah Jl. Rasamala Menteng Dalam, Hitung Tanah;0,0641;0,1289;0,1865;0,375;0,1111;0,2222
Dijual rumah second Tebet Jakarta Selatan berada dalam lingkungan aman;0,1094;0,2512;0,1382;0,375;0,4444;0,2222
Dijual Rumah Di Kebon Baru Tebet;0,0465;0,2465;0,1278;0,5;0,4444;0
Rumah tebet timur dalam;0,075;0,2606;0,0884;0,375;0,3333;0,1111
Rumah Mewah Siap Huni Di Tebet;0,0703;0,3358;0,1159;0,5;0,4444;0,1111
Rumah Asri Dan Sangat Strategis Di Tebet;0,0547;0,0536;0,0743;0,5;0,3333;0
Rumah Tebet utara;0,0266;0,0292;0,0178;0,125;0,1111;0
Rumah Second Fully Furnish Siap Huni Turun Harga BU Di Menteng Dalam Tebet Jakarta Selatan;0,0516;0,1101;0,0542;0,25;0,3333;0,1111
Dijual Rumah Minimalist Modern 3lnt Tebet;0,0422;0,0818;0,0267;0,25;0,3333;0,2222
Dijual Rumah 2 Lnt Tebet;0,0438;0,1289;0,0565;0,25;0,3333;0,1111
Dijual rumah kos tebet;0,025;0,1289;0,0602;1;0,2222;0,1111
Dijual Rumah Kondisi Layak Huni Tebet;0,05;0,317;0,127;0,375;0,3333;0,1111
Tebet Timur Area Tenang dan Nyaman;0,025;0,0536;0,0267;0,125;0,1111;0
Rumah Siap Huni Tebet Barat;0,3281;0,317;0,4428;0,625;0,3333;0,3333
Rumah Mewah di Tenet;0,1141;0,1853;0,1872;0,25;0,2222;0
TERJUAL TEBET Rumah Terawat Siap Huni Dekat dari Jalan Besar;0,0311;0,0931;0,0758;0,375;0,3333;0,1111
TEBET Rumah Siap Huni Buatan Arsitek;0,0344;0,0913;0,0267;0,125;0,2222;0,1111
TEBET Rumah Siap Huni Buatan Arsitek;0,0281;0,0818;0,0267;0,25;0,2222;0,1111
Rumah Di Tebet Lokasi Strategis;0,1016;0,27;0,1456;0,375;0,3333;0
Rumah di Tebet Hanya 200 m dari MT Haryono;0,0781;0,2183;0,2214;0,5;0,3333;0,4444
Rumah Di Tebet Lingkungan Mewah Dan Akses Mudah;0,1953;0,317;0,2793;0,875;0,3333;0,3333
Rumah Nyaman Asambaris Tebet;0,0625;0,2418;0,0713;0,625;0,5556;0,1111
Rumah Dijual 2 lantai, kebon baru Tebet Jak sel;0,0906;0,4111;0,2779;0,5;0,3333;0,4444
Rumah tebet timur jakarta selatan. cozy style modern mini custler 4, 6M;0,0563;0,1063;0,0617;0,375;0,3333;0,1111
Di Jual Rumah Second Lokasi Strategis Tebet Jakarta Selatan;0,0938;0,223;0,0951;0,25;0,2222;0,1111
Tebet rumah modern classic, jakarta selatan;0,0391;0,317;0,0713;0,375;0,3333;0,1111
Rumah tebet dalam, jalan 3 mobil, lingkungan tenang, nego;0,5313;0,8815;1;1;0,6667;0,6667
Dijual rumah cantik bagus di Daerah Menteng Tebet;0,0672;0,1242;0,1077;0,375;0,1111;0
Dijual rumah baru cantik minimalis di Tebet;0,0469;0,1439;0,0602;0,375;0,3333;0
Dijual Rumah Siap Huni 1.5 Lnt;0,0391;0,1195;0,0602;0,25;0,2222;0,1111
Rumah Minimalist Dijual Di Kebon Baru, Tebet, Jakarta;0,0371;0,1214;0,049;0,375;0,3333;0,1111
Dijual Rumah Siap Huni DI Tebet Jaksel;0,2188;0,27;0,2571;0,625;0,3333;0,2222
Tebet Timur Jalan lebar, dekat statiun, harga bagus;0,2031;0,317;0,3618;0,375;0,4444;0,3333
Rumah mewah dijual di Tebet Jakarta selatan;0,3438;0,6463;0,4131;0,5;0,3333;0,3333
Rumah Hitung Tanah di Tebet Timur, Jalan Lebar 3 Mobil, Bentuk Tanah Persegi;0,0953;0,1289;0,1501;0,5;0,2222;0,2222
Rumah second masih bagus wilayah Tebet;0,0781;0,2465;0,1248;0,5;0,3333;0
TERJUAL TEBET TIMUR JALAN 2 MOBIL Dekat Taman;0,0516;0,1289;0,0676;0,125;0,2222;0,1111
Dijual Rumah Cantik Tebet Barat Lokasi Dekat Taman Nyaman Jalan 1 Mobil;0,0391;0,1759;0,0267;0,125;0,3333;0,1111
Very Cheap House Tebet;0,0859;0,1468;0,211;0,375;0,2222;0
Tebet rumah full furnished, jakarta selatan;0,0938;0,1383;0,0832;0,5;0,5556;0,2222
The Classic Luxury House With Pool @Brand New near Cassablanca Area, Palbatu, Jakarta Selatan;0,0797;0,2935;0,0565;0,5;0,4444;0,2222
The Classic Luxury House With Pool @Brand New near Cassablanca Area, Palbatu, Jakarta Selatan;0,0469;0,1289;0,0788;0,375;0,3333;0,1111
Rumah siap huni di tebet dalam;0,1094;0,3829;0,2199;0,625;0,5556;0,1111
Rumah Area Tebet Ada Kamar Tidur;0,0313;0,1214;0,049;0,25;0,2222;0,1111
Dijual Rumah Gudang Peluru Tebet Lokasi Premium Nyaman Jalan Lebar;0,1133;0,3735;0,1753;0,5;0,4444;0,1111
Rumah di Tebet Timur Dalam 7 i, Luas Tanah 179 m2, Lebar Muka 12 meter;0,0359;0,0913;0,0929;0,25;0,1111;0,1111
Dijual Rumah Di Tebet;0,1563;0,4111;0,2571;0,5;0,2222;0,3333
Dijual Rumah Baru Siap Huni Daerah Tebet , Jakarta Selatan;0,0938;0,1477;0,0832;0,25;0,3333;0,1111
Tebet Timur Rumah Homies Termurah Cepat;0,0311;0,0931;0,0758;0,5;0,3333;0,1111
DIJUAL Rumah 2 Lantai, Lokasi Sangat Strategis, Dekat Tol Cawang dan Stasiun Cawang;0,0406;0,0583;0,0602;0,375;0,2222;0,1111
Dijual Murah Rumah Di Jln Keselamatan Tebet Jakarta Selatan;0,0258;0,1195;0,11;0,25;0,1111;0,3333
Rumah Hoky Lokasi Strategis Di Belakang Hotel Haris Tebet;0,0258;0,1101;0,11;0,25;0,1111;0,3333
Rumah 2 Lantai Siap Huni di Bilangan Tebet;0,0266;0,1289;0,0505;0,375;0,2222;0
Rumah Di Tebet Raya, Area Komersial, Keluar Ijin Domisili, Strategis;0,3281;0,4111;0,3462;0,375;0,3333;0,3333
Rumah Tebet Dengan Lokasi Strategis Jalan Lebar;0,0281;0,0818;0,0327;0,25;0,2222;0
Djual rumah di tebet jakarta selatan luas;0,1281;0,3641;0,4799;0,75;0,4444;0,1111
Rumah jual Tebet Barat;0,0781;0,0818;0,1456;0,25;0,3333;0,1111
Rumah Dijual Murah Lokasi Strategis Di Kebon Baru, Tebet - Jakarta Selatan;0;0,0724;0,055;0,375;0,2222;0
Brand New House At Tebet Barat;0,2156;0,4111;0,1902;0,125;0,2222;0,3333
Dijual Rumah Di tebet , Jakarta Selatan Cocok Untuk Ruang Usaha;0,1016;0,1289;0,1679;0,375;0,4444;0,1111
Tebet rumah classic cocok buat comersial, jakarta selatan;0,2969;0,5992;0,3663;0,5;0,4444;0,5556
TEBET Rumah Nyaman Siap Huni dekat Kawasan Kuliner Tebet;0,0156;0,0583;0,0587;0,25;0,1111;0
Rumah di Tebet Timur, SHM, Dekat ke Bandara Halim, Mall Kota Kasablanka dan Dekat Pintu Tol Pancoran;0,0148;0,0583;0,0565;0,25;0,1111;0
Townhouse Bidakara Mewah Nyaman Di Jakarta Selatan 4 Br;0,1641;0,5052;0,1144;0,25;0,4444;0,3333
Rumah hook dijual, sangat strategis di Tebet;0,0219;0,079;0,0743;0,125;0,1111;0
Rumah Cantik Full Renov Tebet Timur;0,0328;0,0724;0,0267;0,125;0,1111;0,1111
Rumah Siap Huni Di Tebet - Jakarta Selatan;0,0563;0,1759;0,0966;0,25;0,2222;0,1111
Dijual Rumah Lama Tebet Barat Lokasi Strategis Jalan 1 Mobil;0,0313;0,0724;0,0602;0,125;0,1111;0
Dijual Rumah Baru 2 lantai Di Tebet;0,0344;0,0536;0,0238;0,375;0,3333;0,1111
Rumah Asri di jalan utama tebet;0,2188;0,4111;0,2571;0,875;0,5556;0,3333
Rumah tebet timur dalam, depan taman;0,0547;0,0724;0,0639;0,125;0,1111;0
Dijual rumah hook asri Bangunan di gudang peluru;0,0906;0,3923;0,1753;0,5;0,2222;0,3333
Rumah Tebet Timur Dalam Dekat Pspt dan stasiun tebet;0,0859;0,1468;0,211;0,375;0,2222;0,2222
Rumah lama hitung tanah kb. Baru Tebet;0,0398;0,1759;0,2214;0,375;0;0,2222
Rumah Mewah Fullfurnish Tebet Jakarta Selatan;0,3438;0,8815;0,3299;0,75;0,8889;0,4444
Rumah Dijual Di Tebet;0,125;0,1759;0,0802;0,25;0,2222;0,1111
Rumah Mewah Di Prime Area Tebet;0,1719;0,27;0,107;0,625;0,4444;0,3333
Rumah Tua Hitung Tanah Di Prime Area. TERMURAH Di TEBET !;0,3281;0,5052;0,5929;0,375;0,4444;0,3333
Rumah Bagus Siap Huni Dekat Casablanca. TERMURAH Di TEBET !;0,0391;0,223;0,101;0,5;0,5556;0,2222
Rumah Lama Di Tebet. MURAH. Best Investment !;0,0445;0,0913;0,1263;0,25;0,2222;0
Komplek Bukit Duri Permai;0,1375;0,6548;0,1969;0,25;0,3333;0,3333
Rumah Bagus Siap Huni JUAL CEPAT ! Tebet Utara;0,1234;0,223;0,1828;0,375;0,3333;0,1111
Rumah Cantik Siap Huni Dalam Komplek. JUAL CEPAT ! Tebet Barat;0,0578;0,2041;0,0357;0,25;0,2222;0,2222
Rumah Baru Siap Huni. MURAH ! Tebet Barat;0,032;0,1035;0,026;0,125;0,3333;0,1111
Rumah Bagus Siap Huni FULL FURNISHED Di Dalam Komplek Tebet Barat;0,0742;0,1759;0,0498;0,25;0,3333;0,1111
Rumah Baru Dalam Komplek Tebet;0,0547;0,1759;0,0416;0,25;0,2222;0
RUMAH MEWAH TEBET;0,4219;0,6463;0,3299;0,375;0,4444;0,2222
Rumah tebet ada ruang usaha jakarta selatan;0,1875;0,4111;0,2571;0,5;0,2222;0,1111
Rumah Mewah Cantik Minimalis Modern Harga Dibawah Pasaran di Jalan Raya Tebet Timur Dalam Raya Tebet;0,375;0,27;0,3796;0,375;0,4444;0
good unit house tebet jakarta;0,0984;0,4111;0,2013;0,375;0,4444;0
Rumah Tebet Timur, Jalan 1 Mobil;0,0297;0,0583;0,0602;0,375;0,1111;0
Rumah Tebet Timur, Jalan 2 Mobil Dekat Taman Tebet;0,1094;0,2023;0,1664;0,625;0,2222;0,1111
Dekat Stasiun Tebet Dan Mega Kuningan;0,1211;0,223;0,1991;0,25;0,3333;0,1111
4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0703;0,2794;0,0639;0,25;0,3333;0,1111
Rumah Di Jual Tebet Barat, Luas Tanah 550 Meter;0,2422;0,5992;0,3685;0,5;0,5556;0
good unit house tebet jakarta;0,0016;0;0,1828;0,125;0;0
Rumah Bagus Siap Huni Ada S. Pool Di Tebet;0,2188;0,5992;0,4799;0,375;0,2222;0,3333
Rumah Baru Spec Premium Semifurnished;0,0922;0,1759;0,0527;0,125;0,1111;0,1111
Dijual Cepat rumah 3 lantai di Tebet;0,1016;0,4111;0,1679;0,375;0,3333;0
Rumah minimalis tebet jalan 3 mobil;0,075;0,1477;0,0646;0,25;0,3333;0,2222
Rumaha mewah siap huni tebet;0,2109;0,317;0,188;0,125;0,2222;0,3333
Rumah Minimalis Siap Huni Tebet;0,0547;0,1289;0,0684;0,25;0,3333;0,1111
5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,25;0,5052;0,3685;0,375;0,5556;0,5556
Dijual Rumah Tebet Dekat Dengan Jalan 2 Mobil Beda 1 Rumah..!!;0,0305;0,0818;0,0594;0,125;0,1111;0
Rumah Hitung Tanah Tebet Jalan 1 Mobil;0,0313;0,0818;0,0713;0,125;0,1111;0
Dijual Cepat Rumah Strategis Tebet Timur;0,0156;0,016;0,0267;0;0;0
Rumah Mewah Cantik Minimalis Modern di Jalan Raya Tebet Timur Dalam Raya Tebet Jakarta Selatan;0,375;0,27;0,3796;0,375;0,4444;0,3333
Jual Cepat Rumah Mewah di Tebet Jakarta Seatan;0,1172;0,223;0,2013;0,375;0,2222;0,1111
Rumah Cantik Di Tebet Jakarta Selatan;0,0938;0,2041;0,1233;0,25;0,2222;0,3333
Dijual Cepat Rumah lama layak huni di Tebet;0,1375;0,317;0,2199;0,25;0,4444;0
Rumah Siap Huni Di Tebet Lokasi Sangat Strategis Sekali;0,0313;0,0818;0,0267;0,125;0,1111;0
Rumah Mewah Kampung Melayu Jual Murah Bawah Pasaran;0,0703;0,1289;0,1456;0,25;0,2222;0,2222
Rumah Baru Renovasi Di Tebet Utara;0,0344;0,0818;0,0602;0,375;0,1111;0
Rumah Mewah Di Tebet;0,375;0,9567;0,4198;0,375;0,5556;0,1111
Rumah Baru Dekat Kawasan Tebet jakarta selatan;0,0891;0,3076;0,0565;0,625;0,5556;0,2222
Dijual Rumah Komplek Depkeu Menteng Tebet Jakarta Selatan;0,25;0,2794;0,4101;0,75;0,2222;0
Dijual Rumah Brand New Cantik Asri Siap Huni Harga Murah Dengan Tanah Luas Di Tebet Timur, Tebet Jaka;0,4688;0,8815;0,4577;0,5;0,4444;0,1111
Rumah hitung tanah di kebon baru Tebet Jakarta Selatan;0,1281;0,5522;0,4762;0,5;0,7778;0
Rumah Minimalis Bagus Prime Area Tebet Barat;0,0922;0,1759;0,0788;0,125;0,3333;0
Tebet Rumah Hitung Tanah Siap Bangun Linkungan Aman dan Nyaman;0,0406;0,0536;0,0632;0,375;0,2222;0
Tebet Rumah Hitung Tanah Dekat Taman;0,0109;0,016;0,0267;0;0,1111;0
Rumah dijual di tebet;0,0297;0,0659;0,0535;0,125;0,1111;0
Rumah Siap Huni Ditebet Jual Cepat;0,0141;0,0536;0,0267;0,125;0,1111;0
Rumah Tebet Soepomo Komplek Keuangan;0,25;0,3076;0,4116;0,875;0,2222;0,4444
Rumah Murah Tanah Luas Siap Huni Di Asem Baris Tebet Jakarta Selatan;0,0938;0,4111;0,2779;0,5;0,5556;0,3333
Rumah Dan Kos-Kosan Di Tebet Barat, Jalan 1 Mobil, Lokasi Strategis;0,0359;0,1289;0,0676;0,75;0,7778;0,1111
Rumah Baru Minimalis 2 Lantai Siap Huni di Tebet Jakarta;0,0961;0,1759;0,0802;0,25;0,2222;0,1111
Murah Dibawah Pasaran, Tebet Timur;0,1172;0,207;0,1872;0,375;0,3333;0
Dijual Rumah Brand New Siap Huni Harga Murah Dengan Tanah Luas Di Tebet Barat, Tebet Jakarta Selatan;0,25;0,3641;0,1902;0,25;0,3333;0,3333
Rumah Minimalis Murah Dekat Stasiun Tebet Jakarta Selatan;0,0273;0,0546;0,0342;0,25;0,2222;0
Dijual Rumah Tebet Barat Lokasi Premium Nyaman Jalan 1 Mobil;0,0313;0,1515;0,052;0,125;0,2222;0
Rumah Cantik Minimalis Di Tebet;0,0859;0,223;0,1085;0,375;0,3333;0,3333
Rumah tebet timur dalam jalan 1 mobil dekat 2 mobil;0,0766;0,1966;0,1909;0,25;0,3333;0,4444
Rumah Baru Bagus, Asem Baris, Tebet Area;0,0594;0,2465;0,1278;0,25;0,3333;0,2222
DIJUAL CEPAT Rumah 2 LANTAI SIAP PAKAI MURAH SEKALI @Tebet, Jakarta Selatan;0,0859;0,1759;0,0936;0,75;0,4444;0,1111
Rumah Ditebet Utara Tebet Jakarta Selatan;0,0859;0,1759;0,0944;0,75;0,5556;0
Dijual Rumah Di Tebet, Jakarta Selatan, Siap Huni;0,0343;0,0818;0,0602;0,125;0,2222;0
Rumah Bagus Di Asem Baris - Tebet;0,0625;0,2418;0,0713;0,625;0,5556;0,1111
DIJUAL RUMAH di Jl. Asem Baris Tebet, Jaksel;0,0188;0,1533;0,0305;0,375;0,2222;0,1111
Rumah mewah clasic di tebet jakarta selatan;0,4375;0,8815;0,4577;0,375;0,4444;0,4444
Rumah Mewah design Klasik, ada Swimming Pool di Tebet Barat;0,2156;0,4111;0,1902;0,25;0,3333;0,3333
Dijual cepat murah BU rumah lama strategis di tebet jakarta selatan;0,0313;0,0348;0,0632;0,125;0,1111;0
DIJUAL CEPAT Rumah 2 Lantai SIAP HUNI & MURAH JARANG ADA di Tebet, Jakarta Selatan;0,0859;0,1759;0,0936;0,75;0,4444;0,1111
Tebet - Dijual Rumah Dalam Kompleks Gudang Peluru;0,1016;0,1101;0,1085;0,375;0,3333;0
Rumah Siap Huni,Bebas Banjir,Tenang,Nyaman Di Gudang Peluru, Tebet;0,0625;0,1759;0,1211;0,125;0,2222;0
Jual cepat Rumah Besar di Tebet Timur;0,0352;0,223;0,0736;0,75;0,6667;0,1111
Rumah Kost Bisa Untuk Huni Di Tebet Barat Dalam Dekat Mt. Haryono;0,0359;0,1289;0,0565;0,875;0,2222;0
TEBET Rumah Lingkungan Nyaman dan Aman Dekat Taman;0,0547;0,1289;0,0936;0,25;0,2222;0
TEBET Rumah Brand New Depan Taman Jalan Dua Mobil Lebar;0,0969;0,1759;0,0795;0,125;0,2222;0,1111
Menteng Dalam - Tebet Akses Jalan 2 Mobil Dekat Asisi;0,0281;0,0818;0,0357;0,125;0,2222;0
Tebet Rumah Brand New Akses Jalan 2 Mobil;0,0547;0,1759;0,0312;0,375;0,3333;0,1111
Dijual Cepet Rumah Siap Huni Tebet, Lokasi Nyaman, Strategis;0,0266;0,0348;0,0565;0,375;0,1111;0,1111
Dijual Rumah Minimalis Tebet Timur Lokasi Premium Bisa Untuk Kantor Jalan Raya;0,1328;0,1759;0,1003;0,25;0,2222;0,1111
Rumah Siap huni 3 lantai dalam komplek Tebet;0,0703;0,079;0,0394;0,5;0,3333;0
Dijual Rumah Tebet Area Komersil Lokasi Strategis Jalan Raya;0,3438;0,6463;0,4131;0,75;0,5556;0,5556
Kebon Baru Rumah Nyaman Siap Huni;0,0078;0,0536;0,0267;0,125;0,1111;0
Rumah Secondary tanah luas strategis asem baris Tebet, Jakarta selatan;0,0938;0,4111;0,2779;0,75;0,5556;0,3333
Tebet rumah murah prime location, jakarta selatan;0,0391;0,1383;0,0862;0,375;0,2222;0,1111
Rumah brand new area Tebet Barat;0,0617;0,1524;0,0416;0,375;0,3333;0,1111
Dijual Rumah Mewah Desain Modern Daerah Tebet;0,4531;0,6933;0,3299;0,375;0,4444;0,8889
Dijual rumah baru di tebet jakarta selatan;0,0153;0,095;0,0134;0,25;0,1111;0,1111
BrandNew Siap Huni Parkir 3 Mobil Tebet Utara;0,0859;0,1759;0,0527;0,125;0,2222;0,2222
Rumah Tebet Dalam, Dekat Taman & Dekat Jln 2 Mobil;0,0391;0,1082;0,0713;0,125;0,1111;0,1111
Rumah Lama Terawat BU Tebet;0,0125;0,0395;0,0267;0,125;0,1111;0
Rumah Lama Terawat lokasi bagus dekat MT.Haryono;0,1875;0,27;0,1441;0,25;0,3333;0
Tebet Rumah Lama Terawat;0,0328;0,1524;0,0758;0,25;0,2222;0,1111
Brand New Rumah Strategi Soho Tebet;0,0586;0,1101;0,0617;0,25;0,3333;0,1111
4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,025;0,0913;0,0267;0,25;0,1111;0
Dijual Rumah Komplek Gudang Peluru Hitung Tanah Lokasi Premium Tenang Jalan 2 Mobil;0,082;0,1289;0,1976;0,25;0,2222;0,1111
Rumah Siap Huni Di Tebet, Jalan 1 Mobil Strategis;0,0313;0,0818;0,0602;0,125;0;0
KOMPLEK ELITE GUDANG PELURU - Rumah Besar Siap Huni;0,0867;0,27;0,1605;0,375;0,3333;0,1111
Rumah Asem Baris;0,0625;0,2418;0,0713;0,625;0,5556;0
Rumah Baru Lux Di Tebet Barat;0,2344;0,4346;0,2051;0,25;0,3333;0,2222
Turun harga rumah di Tebet Jaksel;0,3438;0,6463;0,4131;0,75;0,5556;0,3333
Dijual Rumah Tebet Timur Layak Huni Lokasi Premium Nyaman Jalan Lebar;0,0953;0,1289;0,1568;0,5;0,2222;0,2222
Dijual Murah Rumah Hitung Tanah Tebet Timur Lokasi Strategis Jalan 1 Mobil;0,0203;0,0762;0,0602;0,25;0,1111;0,1111
Dijual Rumah 2 Lantai Lokasi Strategis Siap Huni di Asembaris Tebet;0,1016;0,4111;0,2779;0,5;0,3333;0,3333
Rumah tebet jakarta selatan;0,0703;0,3264;0,1122;0,25;0,3333;0,1111
Rumah Bagus Minimalis Luas Dan Murah Di Asem Baris Tebet Jaksel;0,0203;0,0818;0,0579;0,25;0,2222;0
Dekat Stasiun Tebet Dan Jalan Mt Hariyono Dan RS.Umum;0,2188;0,1637;0,2474;0,375;0,3333;0,1111
Dijual Rumah Tebet Brand New Lokasi Strategis Jalan 1 Mobil;0,0391;0,0724;0,0267;0,125;0,2222;0,1111
Rumah tebet timur dalam jalan 2 mobil;0,0766;0,0724;0,0394;0,125;0,2222;0,2222
Dijual Rumah Dengan Carport Luas di Tebet Barat;0,4531;0,4111;0,4822;0,75;0,3333;0,7778
Rumah Tebet Barat Dalam, Strategis;0,0297;0,0536;0,0617;0,375;0,1111;0
Tebet Akses Jalan 2 Mobil Dekat Taman Cocok Untuk Hunian;0,0781;0,27;0,1233;0,375;0,4444;0,1111
RUMAH MEWAH CANTIK SIAP HUNI DI MENTENG DALAM TEBET JAKARTA SELATAN;0,2656;0,1289;0,1464;0,375;0,2222;0,2222
Rumah siap huni 3 lantai di Tebet Jakarta Selatan;0,0703;0,079;0,0394;0,5;0,3333;0,1111
DIJUAL RUMAH di TEBET TIMUR Jakarta Selatan;0,0422;0,27;0,0936;0,25;0,2222;0
Rumah Siap Huni Jalan Lebaaarrr Tebet Barat;0,082;0,0818;0,0713;0,125;0,2222;0,1111
Rumah Murah Di Tebet Timur Dalam, Tebet Jakarta Selatan;0,0422;0,0818;0,0632;0,375;0,2222;0
Rumah Mewah di Tebet Jakarta Selatan;0,0984;0,223;0,2013;0,375;0,3333;0,5556
Rumah Cantik 2 Lantai, akses jalan 2 Mobil, di Tebet Timur;0,093;0,0818;0,101;0,25;0,3333;0,1111
Dijual Rumah Hook Baru Tebet Timur Jakarta Selatan Lokasi Aman Tidak Banjir Dekat Pasar PSPT;0,0375;0,1195;0,0416;0,375;0,5556;0,1111
Dijual Rumah Baru Siap Huni di Tebet Barat;0,0359;0,0536;0,0267;0,125;0,2222;0,1111
House In Dukuh Patra;0,6406;0,5052;0,4235;0,125;0,2222;0,1111
Dijual Rumah Lux Brandnew, Lokasi Strategis Dekat Ke Kokas;0,0891;0,3076;0,0565;0,25;0,4444;0,1111
Dijual Rumah Di Tebet;0,1719;0,317;0,1917;0,25;0,3333;0,1111
Rumah lama siap bangun di jalan 1 mobil Tebet Timur;0,0211;0,063;0,0565;0,25;0,2222;0
Tebet Rumah Lama Jalan 2 Mobil, Acces Mudah Ke Stasiun Kereta Dan Kulineran;0,0375;0,0348;0,0632;0,5;0,3333;0,1111
Rumah Minimalis Modern 2 Lantai Nan Mewah Dekat Mall Basurra City;0,0313;0,1289;0,0713;0,375;0,3333;0,1111
Dijual Rumah Di Tebet;0,0625;0,2493;0,0713;0,625;0,5556;0,1111
Dijual rumah siap huni di Tebet;0,0469;0,1759;0,0743;0,5;0,2222;0,1111
Dijual rumah siap huni di Tebet;0,0203;0,0414;0;0,125;0,1111;0
DIJUAL RUMAH DI TEBET;0,0547;0,1571;0,0936;0,25;0,3333;0
Dijual rumah di Tebet;0,0531;0,1289;0,1048;0,625;0,1111;0,1111
Dijual rumah di Tebet Timur;0,0547;0,0818;0,0929;0,125;0,1111;0
Dijual Rumah Hitung Tanah Tebet Lokasi Strategis Nyaman Jalan 1 Mobil Lebar;0,0281;0,0348;0,0565;0,125;0,1111;0,1111
Dijual Rumah Komplek Gudang Peluru Tebet Lokasi Premium Nyaman Jalan 1 Mobil;0,0438;0,1082;0,1374;0,25;0,2222;0,3333
Dijual rumah di TEBET - BANGUNAN TERAWAT DAN KOKOH DI JALAN 3 MOBIL;0,2188;0,3641;0,3128;0,375;0,4444;0,4444
Rumah Tanjung Duren;0,0391;0,0677;0,0349;0,25;0,1111;0,1111
RUmah Bagus Pinggir Jalan Lokasi Strategis Di Tebet Jakarta Selatan;0,0703;0,1007;0,1605;0,5;0,2222;0
Dijual cepat murah BU rumah lama strategis di tebet jakarta selatan;0,0297;0,0348;0,0632;0,125;0,1111;0,1111
Dijual cepat murah rumah lama strategis di tebet kuningan jakarta selatan;0,0522;0,0348;0,052;0,125;0,1111;0,1111
Rumah Besar di jual di Jalan Gatot Subroto Jakarta Selatan;0,375;0,2728;0,3574;1;1;0,5556
Dijual Rumah Siap Huni 3 lantai di Tebet Jakarta Selatan;0,0297;0,0818;0,0045;0,25;0,3333;0
Dijual Rumah Minimalis di tebet timur area strategis;0,0344;0,0818;0,0282;0,25;0,3333;0,1111
Rumah Murah Dan Strategis Dekat Mall Casablanca Di Tebet Dalam Jaksel;0,0391;0,1383;0,0877;0,375;0,1111;0,1111
Rumah Mewah Modern di Tebet Barat Nego;0,375;0,4581;0,3202;0,25;0,3333;0,2222
Rumah daerah Tebet;0,1016;0,1759;0,1939;0,125;0,2222;0,1111
Tebet Rumah Dekat Lapangan Bola Siap Huni;0,0305;0,0677;0,0587;0,25;0,2222;0
5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,125;0,27;0,1865;0,375;0,4444;0,2222
4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta;0,0234;0,0536;0,0602;0,25;0,1111;0
Brand New Minimalis Tebet Dengan Lokasi Strategis Dijual Cepat;0,0328;0,1025;0,0267;0,25;0,2222;0,1111
Dijual cepat dan murah rumah lama strategis di Tebet Jakarta Selatan;0,0391;0,1289;0,1315;0,25;0,2222;0,1111
Dijual rumah di Tebet, Jakarta Selatan, bebas banjir, nyaman, dan aman;0,1719;0,3923;0,1917;0,25;0,1111;0
Dijual Rumah Tebet Timur Lokasi Premium Cocok Untuk Usaha Jalan Lebar;0,0938;0,2512;0,0988;0,625;0,3333;0,1111
Dijual Rumah, Siap Huni,Strategis, Di Tebet Jakarta Selatan;0,0859;0,08;0,0713;0,25;0,2222;0,2222
Rumah di tebet timur dalam;0,0547;0,1289;0,0698;0,25;0,2222;0
Rumah Tua Di Tebet Jalan Depan Dua Mobil;0,0938;0,1101;0,1478;0,125;0,1111;0,1111
Tebet Rumah Tinggal;0,0203;0,0724;0,0171;0,25;0,2222;0
Dijual rumah di Tebet;0,1211;0,1759;0,1085;0,375;0,3333;0,1111
